Site,Height,
1,2,0.13406
1,4,NA
1,6,0.25414
1,8,1.22006
2,2,0.0624
2,4,0.20066
2,6,NA
2,8,0.56945
3,2,0.16937
3,4,0.30837
3,6,0.28630
3,8,1.01147
4,2,0.03665
4,4,0.15831
4,6,0.19107
4,8,0.47742
5,2,0.67903
5,4,0.55051
5,6,0.60359
5,8,1.13690
7,2,-0.003396
7,4,0.040639
7,6,0.115762
7,8,0.116714
8,2,0.05525
8,4,0.15717
8,6,0.18216
8,8,1.38597
9,2,0.03752
9,4,0.31600
9,6,0.37936
9,8,1.81619
10,2,0.0006747
10,4,0.1334993
10,6,0.1156076
10,8,0.2649226
11,2,0.11489
11,4,0.09252
11,6,0.23213
11,8,0.74115
12,2,0.06800
12,4,NA
12,6,0.22983
12,8,0.58400